CODE,DESCRIPTION
"1-E, 1-E/A",Notification under Regulation E by small business investment companies and business development companies (and amendment thereto)
"1-E AD, 1-E AD/A",Sales material filed pursuant to Rule 607 under Regulation E. (and amendment thereto)
"2-E, 2-E/A",Sales material filed pursuant to Rule 609 under Regulation E. (and amendment thereto)
"10-12B, 10-12B/A",Initial general form for registration of a class of securities pursuant to section 12(b) (and amendment thereto)
"10-12G, 10-12G/A",Initial general form for registration of a class of securities pursuant to section 12(g) (and amendment thereto)
"10-D, 10-D/A",Periodic distribution reports by Asset-Backed issuers pursuant to Rule 13a-17 or 15d-17 (and amendment thereto)
"10-K, 10-K/A",Annual report pursuant to section 13 and 15(d) (and amendment thereto)
"10-KT, 10-KT/A",Transition report pursuant to Rule 13a-10 or 15d-10 (and amendment thereto)
"10-Q, 10-Q/A",Quarterly report pursuant to section 13 and 15(d) (and amendment thereto)
"10-QT, 10-QT/A",Transition report pursuant to Rule 13a-10 or 15d-10 (and amendment thereto)
"11-K, 11-K/A","Annual report of employee stock purchase, savings and similar plans (and amendment thereto)"
"11-KT, 11-KT/A",Transition report pursuant to Rule 13a-10 or 15d-10 (and amendment thereto)
"13F-HR, 13F-HR/A",Initial Quarterly Form 13F Holdings report filed by institutional managers (and amendment thereto)
"13F-NT, 13F-NT/A",Initial Quarterly Form 13F Notice Report filed by institutional managers (and amendment thereto)
"13H, 13H-Q, 13H-A, 13H-I, 13H-R, 13H-T","Large Trader Registration Information Required of Large Traders Pursuant to the Securities Exchange Act of 1934 and Rule 13h-1 Thereunder. Initial Filing (13H), Amended Filing (13H-Q), Annual Filing (13H-A), Inactive Status (13H-I), Reactivated Status (13H-R), and Termination Filing (13H-T)"
"144, 144/A",Filing for proposed sale of securities under Rule 144 (and amendment thereto)
"15-12B, 15-12B/A",Notice of termination of registration of a class of securities under Section 12(b) (and amendment thereto)
"15-12G, 15-12G/A",Notice of termination of registration of a class of securities under Section 12(g) (and amendment thereto)
"15-15D, 15-15D/A",Notice of suspension of duty to file reports pursuant to Section 13 and 15(d) of the Act (and amendment thereto)
"15F-12G, 15F-12G/A",Notice of termination of a foreign private issuer's registration of a class of securities under Section 12(g) (and amendment thereto)
"15F-15D, 15F-15D/A",Notice of a foreign private issuers suspension of duty to file reports pursuant to Section 13 and 15(d) of the Act (and amendment thereto)
"18-K, 18-K/A",Annual report for foreign governments (and amendment thereto)
"20-F, 20-F/A",Annual and transition report of foreign private issuers pursuant to sections 13 or 15(d) (and amendment thereto)
"20FR12B, 20FR12B/A",Form for initial registration of a class of securities of foreign private issuers pursuant to section 12(b) (and amendment thereto)
"20FR12G, 20FR12G/A",Form for initial registration of a class of securities of foreign private issuers pursuant to section 12(g) (and amendment thereto)
"24F-2NT, 24F-2NT/A",Rule 24F-2 notice filed on Form 24F-2 (and amendment thereto)
"25, 25/A",Notification filed by issuer to voluntarily withdraw a class of securities from listing and registration on a national securities exchange (and amendment thereto)
"25-NSE, 25-NSE/A","Notification filed by national security exchange to report the removal from listing and registration of matured, redeemed or retired securities (and amendment thereto)"
"3, 3/A",Initial statement of beneficial ownership of securities (and amendment thereto)
"305B2, 305B2/A",Application for designation of a new trustee under the Trust Indenture Act
"4, 4/A",Statement of changes in beneficial ownership of securities (and amendment thereto)
"40-6B, 40-6B/A",Application under the Investment Company Act by an employees‟ securities company
40-17F2,Initial certificate of accounting of securities and similar investments in the custody of management investment companies
40-17F2/A,Amendment
40-17G,Fidelity bond
40-17G/A,Fidelity bond (Amendment)
40-202A/A,Filing 40-202A/A
40-206A/A,Amendment
40-24B2,Filing of sales literature
40-24B2/A,Filing of sales literature (Amendment)
40-33,All stockholder derivative actions filed with a court against an investment company or an affiliate
40-6B,Filing 40-6B
40-6B/A,Filing 40-6B (Amendment)
40-8B25,Document or Report
40-8F-2,Initial application for de-registration pursuant to Investment Company Act Rule 0-2
40-APP,Applications under the Investment Company Act other than those reviewed by Office of Insurance Products
40-APP/A,Applications under the Investment Company Act other than those reviewed by Office of Insurance Products (Amendment)
40-F,Annual reports filed by certain Canadian issuers
40-F/A,Annual reports filed by certain Canadian issuers (Amendment)
40-OIP,Applications under the Investment Company Act reviewed by Office of Insurance Products
40-OIP/A,Applications under the Investment Company Act reviewed by Office of Insurance Products (Amendment)
40FR12B,Registration of a class of securities of certain Canadian issuers
40FR12B/A,Registration of a class of securities of certain Canadian issuers (Amendment)
40FR12G,Registration of a class of securities of certain Canadian issuers pursuant to Section 12(g) of the 1934 Act
40FR12G/A,Registration of a class of securities of certain Canadian issuers pursuant to Section 12(g) of the 1934 Act (Amendment)
424A,Prospectus
424B1,Prospectus
424B2,Prospectus
424B3,Prospectus
424B4,Prospectus
424B5,Prospectus
424B7,Prospectus
424B8,Prospectus
425,Filing under Securities Act Rule 425 of certain prospectuses and communications in connection with business combination transactions
485APOS,Post-effective amendment
485BPOS,Post-effective amendment
485BXT,Post-effective amendment
486APOS,Post-effective amendment
486BPOS,Post-effective amendment
487,Pre-effective pricing amendment
497,Definitive materials
497AD,Filing by certain investment companies of Securities Act Rule 482 advertising in accordance with Securities Act Rule 497
497H2,Filings made pursuant to Rule 497(h)(2)
497J,Certification of no change in definitive materials
497K1,Profiles for certain open-end management investment companies
497K2,Profiles for certain open-end management investment companies
497K3A,Profiles for certain open-end management investment companies
497K3B,Profiles for certain open-end management investment companies
5,Insider Trading (Form 5)
5/A,Insider Trading (Form 5) Amendment
6-K,Current report of foreign issuer
6-K/A,Current report of foreign issuer (Amendment)
